song_name,cleaned_artists,popularity
"thank u, next",Ariana Grande,86
Without Me,Halsey,87
SICKO MODE,Travis Scott,85
High Hopes,Panic! At The Disco,86
All I Want for Christmas Is You,Mariah Carey,63
It's the Most Wonderful Time of the Year,Andy Williams,52
Rockin' Around The Christmas Tree,Brenda Lee,53
A Holly Jolly Christmas,Burl Ives,3
Jingle Bell Rock,Bobby Helms,51
Mo Bamba,Sheck Wes,81
The Christmas Song (Merry Christmas To You),Nat King Cole,48
breathin,Ariana Grande,78
Youngblood,5 Seconds of Summer,77
Better Now,Post Malone,86
Lucid Dreams,Juice WRLD,85
imagine,Ariana Grande,76
Last Christmas,Wham!,55
Rudolph the Red-Nosed Reindeer,Gene Autry,36
Trip,Ella Mai,77
Money,Cardi B,79
Leave Me Alone,Flipp Dinero,80
Let It Snow! Let It Snow! Let It Snow!,Dean Martin,47
Sleigh Ride,The Ronettes,46
Feliz Navidad,José Feliciano,46
Here Comes Santa Claus (Right Down Santa Claus Lane),Gene Autry,41
Speechless,Dan + Shay,74
Love Lies,2018 DJ Grime,2
Better,Khalid,75
(There's No Place Like) Home for the Holidays,"['Mitchell Ayres & His Orchestra', 'Perry Como', 'The Ray Charles Singers']",3
Natural,Imagine Dragons,82
Calling My Spirit,Kodak Black,75
Wonderful Christmastime,"['Paul McCartney', 'Jimmy Fallon', 'The Roots']",20
White Christmas,"['Ken Darby Singers', 'Bing Crosby', 'John Scott Trotter & His Orchestra']",49
Uproar,"['Lil Wayne', 'Swizz Beatz']",73
Christmas (Baby Please Come Home),Darlene Love,41
She Got the Best of Me,Luke Combs,75
BAD!,XXXTENTACION,72
Drunk Me,Mitchell Tenpenny,72
Best Shot,Jimmie Allen,71
You Say,Lauren Daigle,79
Armed And Dangerous,Juice WRLD,79
Be Alright,Dean Lewis,83
Sixteen,Thomas Rhett,67
Consequences,Camila Cabello,71
Pure Cocaine,Lil Baby,76
Girl Like You,Jason Aldean,48
Good Girl,Dustin Lynch,71
Testimony,Kodak Black,60
You,Jacquees,70
when the party's over,Billie Eilish,87
Last Shot,Kip Moore,65
whoa (mind in awe),XXXTENTACION,74
Beautiful Crazy,Luke Combs,79
Fine China,"['Future', 'Juice WRLD']",77
This Is It,Scotty McCreery,71
Sweet but Psycho,Ava Max,86
Envy Me,Calboy,79
